iso3c,country_name,idea_country_name,idea_iso3,lower_quota_type,voluntary_details,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_strength_ordinal,has_any_quota,quota_match_status,source_file
TGO,Togo,,,,,0,0,0,0,0,manual_review_needed,
THA,Thailand,Thailand,THA,-,Yes,1,0,0,1,1,matched,export_table.csv
TJK,Tajikistan,,,,,0,0,0,0,0,manual_review_needed,
TKM,Turkmenistan,,,,,0,0,0,0,0,manual_review_needed,
TLS,Timor-Leste,Timor-Leste,TLS,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
TTO,Trinidad and Tobago,,,,,0,0,0,0,0,manual_review_needed,
TUN,Tunisia,Tunisia,TUN,-,No,0,0,0,0,0,matched,export_table.csv
TUR,"T""urkiye",Turkey,TUR,-,Yes,1,0,0,1,1,matched,export_table.csv
TWN,Taiwan,Taiwan,TWN,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
TZA,Tanzania,"Tanzania, United Republic of",TZA,Reserved seats,Yes,1,0,1,3,1,matched,export_table.csv
UGA,Uganda,Uganda,UGA,Reserved seats,Yes,1,0,1,3,1,matched,export_table.csv
UKR,Ukraine,Ukraine,UKR,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
URY,Uruguay,Uruguay,URY,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
USA,United States of America,,,,,0,0,0,0,0,manual_review_needed,
UZB,Uzbekistan,Uzbekistan,UZB,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
VEN,Venezuela,Venezuela,VEN,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
VNM,Vietnam,Viet Nam,VNM,Legislated Candidate Quotas,-,0,1,0,2,1,matched,export_table.csv
VUT,Vanuatu,Vanuatu,VUT,-,-,0,0,0,0,0,matched,export_table.csv
XKX,Kosovo,Kosovo,,,,0,0,0,0,0,manual_review_needed,
YEM,Yemen,,,,,0,0,0,0,0,manual_review_needed,
YMD,South Yemen,,,,,0,0,0,0,0,manual_review_needed,
ZAF,South Africa,South Africa,ZAF,-,Yes,1,0,0,1,1,matched,export_table.csv
ZMB,Zambia,,,,,0,0,0,0,0,manual_review_needed,
ZWE,Zimbabwe,Zimbabwe,ZWE,Reserved seats,Yes,1,0,1,3,1,matched,export_table.csv
ZZB,Zanzibar,,,,,0,0,0,0,0,manual_review_needed,
