iso3c,country_name,idea_country_name,match_method,match_score,manual_review_needed,notes
LBR,Liberia,Liberia,iso3_exact,1.0,False,
LBY,Libya,,unmatched,0.667,True,no_reliable_auto_match
LKA,Sri Lanka,Sri Lanka,iso3_exact,1.0,False,
LSO,Lesotho,Lesotho,iso3_exact,1.0,False,
LTU,Lithuania,Lithuania,iso3_exact,1.0,False,
LUX,Luxembourg,Luxembourg,iso3_exact,1.0,False,
LVA,Latvia,,unmatched,0.615,True,no_reliable_auto_match
MAR,Morocco,Morocco,iso3_exact,1.0,False,
MDA,Moldova,"Moldova, Republic of",iso3_exact,0.519,False,low_name_similarity_despite_iso_match
MDG,Madagascar,,unmatched,0.444,True,no_reliable_auto_match
MDV,Maldives,Maldives,iso3_exact,1.0,False,
MEX,Mexico,Mexico,iso3_exact,1.0,False,
MKD,North Macedonia,"North Macedonia, Republic of",iso3_exact,0.698,False,
MLI,Mali,Mali,iso3_exact,1.0,False,
MLT,Malta,Malta,iso3_exact,1.0,False,
MMR,Burma/Myanmar,,unmatched,0.455,True,no_reliable_auto_match
MNE,Montenegro,Montenegro,iso3_exact,1.0,False,
MNG,Mongolia,Mongolia,iso3_exact,1.0,False,
MOZ,Mozambique,Mozambique,iso3_exact,1.0,False,
MRT,Mauritania,Mauritania,iso3_exact,1.0,False,
MUS,Mauritius,Mauritius,iso3_exact,1.0,False,
MWI,Malawi,Malawi,iso3_exact,1.0,False,
MYS,Malaysia,Malaysia,iso3_exact,1.0,False,
NAM,Namibia,Namibia,iso3_exact,1.0,False,
NER,Niger,Niger,iso3_exact,1.0,False,
NGA,Nigeria,,unmatched,0.833,True,no_reliable_auto_match
NIC,Nicaragua,Nicaragua,iso3_exact,1.0,False,
NLD,Netherlands,Netherlands,iso3_exact,1.0,False,
NOR,Norway,Norway,iso3_exact,1.0,False,
NPL,Nepal,Nepal,iso3_exact,1.0,False,
NZL,New Zealand,New Zealand,iso3_exact,1.0,False,
OMN,Oman,,unmatched,0.727,True,no_reliable_auto_match
PAK,Pakistan,Pakistan,iso3_exact,1.0,False,
PAN,Panama,Panama,iso3_exact,1.0,False,
PER,Peru,Peru,iso3_exact,1.0,False,
PHL,Philippines,Philippines,iso3_exact,1.0,False,
PNG,Papua New Guinea,Papua New Guinea,iso3_exact,1.0,False,
POL,Poland,Poland,iso3_exact,1.0,False,
PRK,North Korea,,unmatched,0.588,True,no_reliable_auto_match
PRT,Portugal,Portugal,iso3_exact,1.0,False,
PRY,Paraguay,Paraguay,iso3_exact,1.0,False,
PSE,Palestine/West Bank,State of Palestine,iso3_exact,0.486,False,low_name_similarity_despite_iso_match
PSG,Palestine/Gaza,,unmatched,0.621,True,no_reliable_auto_match
QAT,Qatar,,unmatched,0.6,True,no_reliable_auto_match
ROU,Romania,Romania,iso3_exact,1.0,False,
RUS,Russia,,unmatched,0.615,True,no_reliable_auto_match
RWA,Rwanda,Rwanda,iso3_exact,1.0,False,
SAU,Saudi Arabia,,unmatched,0.588,True,no_reliable_auto_match
SDN,Sudan,,unmatched,0.667,True,no_reliable_auto_match
SEN,Senegal,Senegal,iso3_exact,1.0,False,
SGP,Singapore,,unmatched,0.5,True,no_reliable_auto_match
SLB,Solomon Islands,,unmatched,0.545,True,no_reliable_auto_match
SLE,Sierra Leone,Sierra Leone,iso3_exact,1.0,False,
SLV,El Salvador,El Salvador,iso3_exact,1.0,False,
SML,Somaliland,,unmatched,0.824,True,no_reliable_auto_match
SOM,Somalia,Somalia,iso3_exact,1.0,False,
SRB,Serbia,Serbia,iso3_exact,1.0,False,
SSD,South Sudan,South Sudan,iso3_exact,1.0,False,
STP,Sao Tome and Principe,,unmatched,0.421,True,no_reliable_auto_match
SUR,Suriname,,unmatched,0.667,True,no_reliable_auto_match
SVK,Slovakia,Slovakia,iso3_exact,1.0,False,
SVN,Slovenia,Slovenia,iso3_exact,1.0,False,
SWE,Sweden,Sweden,iso3_exact,1.0,False,
SWZ,Eswatini,,unmatched,0.615,True,no_reliable_auto_match
SYC,Seychelles,,unmatched,0.533,True,no_reliable_auto_match
SYR,Syria,,unmatched,0.727,True,no_reliable_auto_match
TCD,Chad,Chad,iso3_exact,1.0,False,
TGO,Togo,,unmatched,0.5,True,no_reliable_auto_match
THA,Thailand,Thailand,iso3_exact,1.0,False,
TJK,Tajikistan,,unmatched,0.778,True,no_reliable_auto_match
TKM,Turkmenistan,,unmatched,0.636,True,no_reliable_auto_match
TLS,Timor-Leste,Timor-Leste,iso3_exact,1.0,False,
TTO,Trinidad and Tobago,,unmatched,0.435,True,no_reliable_auto_match
TUN,Tunisia,Tunisia,iso3_exact,1.0,False,
TUR,"T""urkiye",Turkey,iso3_exact,0.714,False,
TWN,Taiwan,Taiwan,iso3_exact,1.0,False,
TZA,Tanzania,"Tanzania, United Republic of",iso3_exact,0.444,False,low_name_similarity_despite_iso_match
UGA,Uganda,Uganda,iso3_exact,1.0,False,
UKR,Ukraine,Ukraine,iso3_exact,1.0,False,
URY,Uruguay,Uruguay,iso3_exact,1.0,False,
USA,United States of America,,unmatched,0.541,True,no_reliable_auto_match
UZB,Uzbekistan,Uzbekistan,iso3_exact,1.0,False,
VEN,Venezuela,Venezuela,iso3_exact,1.0,False,
VNM,Vietnam,Viet Nam,iso3_exact,0.933,False,
VUT,Vanuatu,Vanuatu,iso3_exact,1.0,False,
XKX,Kosovo,Kosovo,name_fuzzy_high,1.0,True,fuzzy_match_needs_manual_confirmation
YEM,Yemen,,unmatched,0.545,True,no_reliable_auto_match
YMD,South Yemen,,unmatched,0.6,True,no_reliable_auto_match
ZAF,South Africa,South Africa,iso3_exact,1.0,False,
ZMB,Zambia,,unmatched,0.769,True,no_reliable_auto_match
ZWE,Zimbabwe,Zimbabwe,iso3_exact,1.0,False,
ZZB,Zanzibar,,unmatched,0.533,True,no_reliable_auto_match
